title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Article 4 directions: office to residential,2gy3r,An Article 4 Direction: Office to Residential removes permitted development rights within the designated area. This means you will need planning permission...,"An Article 4 Direction: Office to Residential removes permitted development rights within the designated area. This means you will need planning permission from the LPAs for a change of use from office (Use Class B1a) to residential (Use Class C3). The GIS files show the indicative boundaries, please contact the relevant London Borough to confirm accuracy. NOTE: The boundaries are based on Ordnance Survey mapping and the data is published under Ordnance Survey's 'presumption to publish'.Contains OS data © Crown copyright and database rights 2019. Greater London Authority - Contains public sector information licensed under the Open Government Licence v3.0",Environment,Planning Constraints Map,https://data.london.gov.uk/dataset/2gy3r,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"GEOPACKAGE, HTML",UNKNOWN,UNKNOWN,Custom Polygons,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"planningconstraintsmap, MapLondon",snowflake,Medium,"Topics: environment, housing, planning. Last updated: 2022-07-12."
Planning Data Map,2lzrg,This is a beta version of the first open planning data map for London. It contains 16 data sets grouped under the headings of 'Good Growth' and...,"This is a beta version of the first open planning data map for London. It contains 16 data sets grouped under the headings of 'Good Growth' and 'Constraints'. You are encouraged to explore the map and give us your ideas about how it can be improved. We are also keen to receive suggestions for what information to add next. Please send your feedback to planningdata@london.gov.uk For more information about planning, please see www.london.gov.uk/what-we-do/planning",Environment,Planning Constraints Map,https://data.london.gov.uk/dataset/2lzrg,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Weekly,HTML,UNKNOWN,UNKNOWN,Custom Polygons,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,planningconstraintsmap,snowflake,Medium,"Topics: environment, housing, planning. Last updated: 2022-06-16."
Londoners' awareness and understanding of retrofitting ,2r7ko,Qualitative research (focus groups) and representative polling undertaken by the GLA's Opinion Research team in February 2022. Focus groups were split by...,Qualitative research (focus groups) and representative polling undertaken by the GLA's Opinion Research team in February 2022. Focus groups were split by income and by housing tenure. The research explored: To what extent are Londoners aware of retrofitting? To what extent are Londoners currently willing to retrofit their homes? What might encourage Londoners to consider retrofitting? What information do they have / need?,Environment,GLA Opinion Research,https://data.london.gov.uk/dataset/2r7ko,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, housing. Last updated: 2022-05-16."
Low Carbon Technologies,236z3,Volume of Low Carbon Technologies (LCT) for both generation and demand (under 1MW) connected to UK Power Networks by Primary Substation. Examples of LCTs...,Volume of Low Carbon Technologies (LCT) for both generation and demand (under 1MW) connected to UK Power Networks by Primary Substation. Examples of LCTs include electric vehicle charge points and solar PV.,Environment,UK Power Networks,https://data.london.gov.uk/dataset/236z3,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Monthly,HTML,UNKNOWN,UNKNOWN,100m Grid Squares,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"electricity, low carbon, EV, electric vehicle, PV, Heat pumps, power, heat",snowflake,Medium,"Topics: environment, planning, transport. Last updated: 2022-05-13."
Isle of Dogs and South Poplar Integrated Water Management Plan,em58m,An Integrated Water Management Plan (IWMP) for the Isle of Dogs and South Poplar Opportunity Area prepared by the Greater London Authority in partnership...,"An Integrated Water Management Plan (IWMP) for the Isle of Dogs and South Poplar Opportunity Area prepared by the Greater London Authority in partnership with LB Tower Hamlets, also encompassing the ‘East of Borough’ area adjacent to the River Lea. The IWMP considers the constraints and opportunities for sustainably managing water supply, demand and drainage in the study area in the context of the significant residential and commercial development anticipated over the coming decades. It provides a series of prioritised recommendations for the borough, water providers, developers and other key stakeholders to consider for implementation.",Environment,Greater London Authority (GLA),https://data.london.gov.uk/dataset/em58m,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: environment, planning. Last updated: 2022-05-09."
Grid and Primary substations,e66k9,"List of Active Grid and Primary Sites and key characteristics including spatial coordinates, year commissioned and asset counts against the site.List of...","List of Active Grid and Primary Sites and key characteristics including spatial coordinates, year commissioned and asset counts against the site.List of Active Grid and Primary Sites and key characteristics including spatial coordinates, year commissioned and asset counts against the site.",Environment,UK Power Networks,https://data.london.gov.uk/dataset/e66k9,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Annual,HTML,UNKNOWN,UNKNOWN,100m Grid Squares,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"electricity, power, substation",snowflake,Medium,"Topics: environment, planning. Last updated: 2022-05-06."
SmartMeter Energy Consumption Data in London Households,vqm0d,"Energy consumption readings for a sample of 5,567 London Households that took part in the UK Power Networks led Low Carbon London project between November...","Energy consumption readings for a sample of 5,567 London Households that took part in the UK Power Networks led Low Carbon London project between November 2011 and February 2014. Readings were taken at half hourly intervals. The customers in the trial were recruited as a balanced sample representative of the Greater London population. The dataset contains energy consumption, in kWh (per half hour), unique household identifier, date and time. The CSV file is around 10GB when unzipped and contains around 167million rows. Within the data set are two groups of customers. The first is a sub-group, of approximately 1100 customers, who were subjected to Dynamic Time of Use (dToU) energy prices throughout the 2013 calendar year period. The tariff prices were given a day ahead via the Smart Meter I",Environment,UK Power Networks,https://data.london.gov.uk/dataset/vqm0d,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Unknown,"SPREADSHEET, ZIP",UNKNOWN,2011-11 to 2014-02,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"2013, electricity, power, energy",snowflake,Medium,Topics: environment. Last updated: 2022-04-07.
Low Carbon London Heat Pump Load Profiles,2nlrm,"Data was collected relating to load profiles for 19 customers as part of the Low Carbon London project, delivered by UK Power Networks. Data has been...","Data was collected relating to load profiles for 19 customers as part of the Low Carbon London project, delivered by UK Power Networks. Data has been anonymised. Two folders, correspond to two suppliers – data is offered differently from the two suppliers. The folder ‘Data Supply 1’ contains two folders as Power Quality is logged separately from Heat Profiles. For further queries contact innovation@ukpowernetworks.co.uk Variation from the specification None of the power quality meters were capable of recording specific harmonic phase, therefore only harmonic magnitudes are recorded. The Enetics power quality meters record to a maximum of the 25th harmonic No power quality data for S1_Customer 6 or 8",Environment,UK Power Networks,https://data.london.gov.uk/dataset/2nlrm,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Unknown,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: environment. Last updated: 2022-04-07.
Photovoltaic (PV) Solar Panel Energy Generation data,2nlqm,"This dataset contains voltage, current, power, energy, and weather data from low-voltage substations and domestic premises with high uptake of solar...","This dataset contains voltage, current, power, energy, and weather data from low-voltage substations and domestic premises with high uptake of solar photovoltaic (PV) embedded generation. Data collected as part of the project run by UK Power Networks. Validation of Photovoltaic Connection Assessment Tool https://www.ofgem.gov.uk/ofgem-publications/93938/pvtoolcdrfinal-pdf The project collected a rich dataset at domestic sites with Solar Panels. The data set comprises of 25,775 days-worth of data, and over 171 million individual measurements. Key stats about the dataset: 20 substations and 10 domestic premises Collected over 480 days - 27 July 2013 to 19 November 2014 10 minute intervals over all time recorded, 1 minute intervals in summer 2014 10-minute measurements prior to 10 June 2014, ",Environment,UK Power Networks,https://data.london.gov.uk/dataset/2nlqm,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Unknown,"SPREADSHEET, ZIP",UNKNOWN,2013-11 to 2014-11,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: environment. Last updated: 2022-04-07.
Low Carbon London Electric Vehicle Load Profiles,2y5k8,"Data collected relating to load profiles for electric vehicle charging, part of the Low Carbon London (LCL) project delivered by UK Power Networks. Data has...","Data collected relating to load profiles for electric vehicle charging, part of the Low Carbon London (LCL) project delivered by UK Power Networks. Data has been anonymised. For further queries contact innovation@ukpowernetworks.co.uk Folders: EV Commercial trials Folder contains raw data from LCL EV commercial trials (2013 - 2014) Files ordered by customer with ten-minute time stamps of EV activity. EV Public trials List of charging events of four different suppliers of public charge points. EV Residential trials Folder contains raw data from LCL EV residential trials (2013 - 2014) – sorted by customer. Files ordered by customer with ten-minute time stamps of EV activity. Also contained are anonymised surveys about EV habits.",Environment,UK Power Networks,https://data.london.gov.uk/dataset/2y5k8,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Unknown,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: environment. Last updated: 2022-04-07.
